ID_NO,INTERNAL_SCORE,ID_DECISION,CHANNEL,STORE,APPLICATION_TYPE,CONSULTATION_ID,FLAG_HIT,FICO_SCORE,DATE_OF_BIRTH,RESIDENCE,MARITAL_STATUS,SEX_FLAG,DEPENDENDENTS_NO,UNDERWRITERïS_NAME_CREDIT,ACCOUNT_TYPE_CREDIT,RESPONSIBILITY_TYPE_CREDIT,CREDIT_TYPE,Source,IMPUGNATED_REGISTRY,UNDERWRITERïS_NAME_CONSULTATION,ACCOUNT_TYPE_CONSULTATION,RESPONSIBILITY_TYPE_CONSULTATION,AMOUNT_APPLIED_FOR,Paid/Not Paid
010116B00000C285,168,INVESTIGACIàN,1,5808,2.01711E+25,343431663,0,592,08/06/1996,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
010116B00000C4E0,115,INVESTIGACIàN,1,5808,2.01801E+25,357744965,1,546,06/11/1994,5,,F,0,TIENDA COMERCIAL,L¡nea de Cr‚dito,Individual,Revolvente,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
010116B00000C57A,198,INMEDIATO,1,5808,2.01801E+25,363853610,1,661,01/05/1967,5,,,0,BANCOS,Tarjeta de Cr‚dito,UNERFORSCHT,Revolvente,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116B60001F330,123,INVESTIGACIàN,1,5814,2.0171E+25,329902742,0,553,13/02/1992,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116B60001F48A,154,INMEDIATO,1,5814,2.01711E+25,338658808,0,703,25/08/1944,,,,0,BANCOS,Pr‚stamo Personal,UNERFORSCHT,Pagos Fijos,Bur¢ de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,1
0101082D00014E8D,78,INVESTIGACIàN,1,5814,2.01711E+25,342328271,0,522,07/05/1999,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116B60001D826,111,INMEDIATO,1,5814,2.01711E+25,342715861,1,702,17/03/1975,5,,,0,COMUNICACIONES,L¡nea de Cr‚dito,UNERFORSCHT,Revolvente,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,1
010116B600012A11,111,INVESTIGACIàN,1,5814,2.01711E+24,342798656,1,668,19/07/1972,5,D,F,0,SERVICIOS,Otros,Individual,Sin L¡mite Preestablecido,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
0101080F00013B21,104,INVESTIGACIàN,1,5814,2.01712E+25,348579903,1,723,14/02/1966,5,L,F,2,FINANCIERA,Tarjeta de Cr‚dito,Individual,Revolvente,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
010116B60001F661,106,INMEDIATO,1,5814,2.01712E+25,353040514,1,704,25/04/1972,5,,,0,BANCOS,L¡nea de Cr‚dito,UNERFORSCHT,Pagos Fijos,Bur¢ de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
